"Proteins","log(fold-change) Treatment.1-Control","p-values Treatment.1-Control","q-values Treatment.1-Control"
"P61204, P84077","0.0752949839879515","0.865493254628678","0.859804177571338"
"P61978","-0.0326947204481436","0.943318007324118","0.868285708529226"
"P62191","0.297887751903877","0.556586840300543","0.7388495071526"
"P62805","0.796407568454717","0.0968542710299013","0.575372670019949"
"P68104, Q05639, Q5VTE0","-0.0855537792790208","0.873016860894718","0.859804177571338"
"P68363, P68366, Q71U36, Q9BQE3","0.282414090450683","0.551172849504665","0.7388495071526"
"P78527","0.382246658542617","0.479259558608548","0.695863673023473"
"P85037","0.40368632669565","0.401686660874149","0.688228897810429"
"P98160","-0.558448953083421","0.273687315887082","0.657210567263038"
"P99999","0.690402089413392","0.131085718809307","0.575372670019949"
"Q00765","0.733150627730339","0.123952750373977","0.575372670019949"
"Q01082","0.0207245280952549","0.963616244564582","0.870544047708223"
"Q01813","-0.75290850971335","0.123260545492634","0.575372670019949"
"Q02543","0.799908495181252","0.1395901912981","0.575372670019949"
"Q04671","1.85296903999124","0.00405499920883831","0.231335311719936"
"Q12846","-0.111504164683091","0.783582195243421","0.859804177571338"
"Q12996","0.778213387146279","0.12055446139123","0.575372670019949"
"Q13418","0.497045825531625","0.381894670040648","0.688228897810429"
"Q13423","-0.292408353957271","0.523850607357044","0.71987898600198"
"Q13610","0.798053548249378","0.175187264169573","0.592199656586509"
"Q13618","0.389217071811823","0.418867766385614","0.688228897810429"
"Q13813","-0.280628563030704","0.66348185693373","0.819430931337891"
"Q13938","-2.41112518568593","0.0047419998108078","0.231335311719936"
"Q14166","0.116216958993479","0.842575048487522","0.859804177571338"
"Q14204","0.413603930382065","0.383271266045959","0.688228897810429"
"Q14451","0.419959988974033","0.367788769737081","0.688228897810429"
"Q14697","0.799085692237704","0.156676303551076","0.575372670019949"
"Q14929","-0.412061667461555","0.459785786399704","0.690164438664747"
"Q15149","-0.408122947703102","0.340715501396715","0.688228897810429"
"Q15459","0.479112784806886","0.25367947093039","0.657210567263038"
"Q15637","-0.17205948605646","0.687676933334379","0.833487267644032"
"Q15746","1.01277935961678","0.135111283757105","0.575372670019949"
"Q16531","0.502850948224719","0.33098554443078","0.688228897810429"
"Q3MIR4, Q9NV96","-0.32956148140075","0.45144254427157","0.688228897810429"
"Q3YEC7","0.126241793639061","0.784460802522225","0.859804177571338"
"Q49MG5","0.513443319112512","0.306985589916475","0.688228897810429"
"Q6P1L8","0.155402671242732","0.78651310475236","0.859804177571338"
"Q6WKZ4","0.0205559712772307","0.970172300399903","0.872427860026691"
"Q70J99","-1.09554548700928","0.177028184745257","0.592199656586509"
"Q7L576, Q96F07","0.469787792270149","0.316290815465234","0.688228897810429"
"Q7L5N7","-0.038675003341247","0.936347584838419","0.868285708529226"
"Q7LBR1","0.400432903932684","0.374272161415133","0.688228897810429"
"Q7Z406","-0.426706350915995","0.386732311839471","0.688228897810429"
"Q7Z6Z7","0.365814131042049","0.441745447960141","0.688228897810429"
"Q86VS8","-0.384344525755985","0.416440214637675","0.688228897810429"
"Q8IUX7, Q8N436","1.23084558536473","0.0417187240441309","0.428467420646621"
"Q8N1F7","0.629099511292394","0.249508691637192","0.657210567263038"
"Q8N4T8","-0.553270607080944","0.258099496502271","0.657210567263038"
"Q8N766","0.430502293300968","0.335391292810518","0.688228897810429"
"Q8TBC4","-0.308466830143492","0.463463484729018","0.690374300071056"
"Q8TE68","0.395061102175298","0.363818762112706","0.688228897810429"
"Q8TE77","-0.455263822679212","0.436767937785771","0.688228897810429"
"Q8TEX9","-0.690577088436344","0.209967879523694","0.634865782393025"
"Q8WUY1","-0.448760132516363","0.372873047330387","0.688228897810429"
"Q8WZA9","-0.0357103623357266","0.940009024584927","0.868285708529226"
"Q92542","-0.412944459494562","0.354496868212291","0.688228897810429"
"Q92626","0.13420502235317","0.788866559735811","0.859804177571338"
"Q92878","0.118162206544874","0.819168075335746","0.859804177571338"
"Q92879","0.249041151846124","0.651570160063337","0.81503634785389"
"Q969G5","0.21111766046011","0.67498127790518","0.82321283508611"
"Q969T9","0.255748280188479","0.57308527131147","0.75053917821495"
"Q96AA3","0.0628329167932462","0.894970600898545","0.860306333713314"
"Q96EY8","-0.0412300714408587","0.92815774460002","0.868285708529226"
"Q96KP1","0.0893322876090047","0.835356523328834","0.859804177571338"
"Q96P48","0.370553769285485","0.444859419583053","0.688228897810429"
"Q96S44","0.736193325521446","0.119513078917303","0.575372670019949"
"Q99459","1.07207214439224","0.0346491168334968","0.397725683543578"
"Q99623","0.846174940316865","0.0911453449865017","0.575372670019949"
"Q99715","1.06697531279363","0.166721900170235","0.580958370265716"
"Q9BQ04, Q9BWF3","0.599177323109659","0.224486703343426","0.634865782393025"
"Q9BSJ8","-0.484810757330591","0.335083408512492","0.688228897810429"
"Q9BUJ2","0.135751804692151","0.7625595820703","0.859804177571338"
"Q9BUQ8","0.783697578125986","0.146374073291635","0.575372670019949"
"Q9BV44","0.288232275502067","0.515386920391383","0.718365961571017"
"Q9BW04","-1.88188278122216","0.00774886823007288","0.257998790567062"
"Q9BXJ9","1.58901444553826","0.0638312537761018","0.573846054491238"
"Q9BYC9","0.239614222966282","0.658194227282608","0.818078172909731"
"Q9H0C8","0.826742870869649","0.14818806685084","0.575372670019949"
"Q9H0D6","-0.320555657286472","0.598104042237991","0.776280775395247"
"Q9H2P0","0.060004664247837","0.912533689542271","0.867981382825612"
"Q9H3K2","-0.100709391493929","0.836556508914791","0.859804177571338"
"Q9H583","1.47811318864228","0.014834833771893","0.321647784043687"
"Q9H5N1","-0.552327140583175","0.224241614636928","0.634865782393025"
"Q9HBL0","0.907184347089787","0.112553738316108","0.575372670019949"
"Q9NPQ8","0.154246688478972","0.735368880113749","0.859269041322297"
"Q9NUU7, Q9UMR2","0.189607801639138","0.746675724481811","0.859804177571338"
"Q9NVP1","1.73126762357433","0.0123819318877107","0.302022162296398"
"Q9NYL9","-0.324143212752845","0.484978721855859","0.695863673023473"
"Q9NZJ7","-0.311213822165563","0.539350678944771","0.730885130617924"
"Q9NZM1","-0.175517114172207","0.734025430402993","0.859269041322297"
"Q9P0M6","-0.0812721777736528","0.875642895673781","0.859804177571338"
"Q9UBX3","0.611849976305069","0.25514940740764","0.657210567263038"
"Q9UDY2","-0.119942950593418","0.824681200014405","0.859804177571338"
"Q9UHL4","1.27400631004762","0.0308281813204076","0.397725683543578"
"Q9UIA9","0.581948608395632","0.295235172414955","0.685850087025866"
"Q9UJS0","0.551726203060607","0.198560103101758","0.624943404563493"
"Q9UJX3","-0.645190654679299","0.238837288657373","0.657210567263038"
"Q9UK45","0.330044573599381","0.44144628921649","0.688228897810429"
"Q9UPN3","0.667504558867011","0.221249803883526","0.634865782393025"
"Q9Y2B0","0.0998326391251696","0.83274367811855","0.859804177571338"
"Q9Y315","0.769216519897058","0.10340852216872","0.575372670019949"
"Q9Y3A5","0.680982174584615","0.141527356176571","0.575372670019949"
"Q9Y3I0","0.700674237214873","0.156477919208822","0.575372670019949"
"Q9Y6C2","0.678126859753397","0.473093226667289","0.69437643426751"
