"","Control","Control","Control","Control","Treatment","Treatment","Treatment","Treatment"
"P08729",-0.225484995195126,-0.606534565910055,0.810456308859575,0.0644407278780537,0.00960581074922784,-0.0407220156243038,0.101449917933683,-0.113211188691054
"P08865",-0.108086348504769,0.506737806473815,0.886465840404537,0.292066079697519,0.514682056418829,-3.7867142264523,0.476684698701686,1.21816409326069
"P09622",-0.885735678069629,0.520574143647047,0.404545277100643,-0.300787388773643,-0.284822310395506,0.0974200804036651,-0.178871222429093,0.627677098516514
"P09661",-0.33319640945101,-0.407720884937365,0.0970729845817773,-0.155425268751704,0.328797719298333,-0.014370530289026,-0.174351534813295,0.659193924362292
"P09936",-0.382950035790798,-0.25951498541427,-0.572727883054314,-0.965579126572562,-0.113310621318744,0.330448253292574,1.84053865045172,0.123095748406393
"P0C0L4, P0C0L5",-0.863727119997437,0.338201415084801,-0.0862983762475853,0.280318128374507,1.12210341289791,-0.147296966577332,-0.0279359019812868,-0.615364591553577
"P0DME0, Q01105",0.00658953391040518,-0.329548910242057,0.294541883928809,-0.915693234117356,-0.0625322585493024,0.373472579841971,0.187453587987118,0.445716817240413
"P10586",-0.97264090362839,0.206075548127991,-0.371830893003189,0.424270717434277,-0.498206236378258,-0.349450665351254,-0.00287171759831972,1.56465415039714
"P10909",0.440376605697185,-0.62422492501623,0.301216037023376,-0.0128817853329877,0.115645219949447,-0.0156997596904347,0.170508533734657,-0.374939926365013
"P11117",-0.985540262488571,-0.263236375511675,0.120365868235175,-0.463403891906009,-0.861730617562202,1.1257557900843,0.579356915593544,0.748432573555436
"P11586",-0.896112625569585,0.350311444937628,0.508942402056881,-1.31786570809553,0.210073825683128,0.164310082914144,-0.241145337681483,1.22148591575481
"P11678",-0.0730589042417193,-1.5833360484104,0.612175734173476,-3.06434699623811,0.28583279836235,1.68454406207318,1.86768367621489,0.270505678066343
"P12110",-0.716605830120558,0.967579779655184,-1.0415983868019,-1.97463144559597,1.76544320156481,1.25423525548635,2.09870370305459,-2.3531262772425
"P12111",-0.525704601122686,0.913390151929518,-0.922067783755517,-2.30265635619165,1.76363070648953,1.3720945654887,1.87677961563136,-2.17546629846926
