	iTRAQ8.113	iTRAQ8.114	iTRAQ8.115	iTRAQ8.116	iTRAQ8.117	iTRAQ8.118	iTRAQ8.119	iTRAQ8.121
P50851	-3.20641029872002	-2.68104911945909	-2.68741244353477	-3.85115454646838	-2.89082153344239	-3.193353169098	-3.78210732070864	-2.36316847646288
P52272	-4.30045053889677	-2.6500041544966	-2.55841838648319	-3.51640612391029	-3.06418896920861	-3.80179470800074	-2.70363168984507	-2.41112549592404
P52789	-3.79192801742251	-3.24297531690697	-2.337585942375	-3.22783435944541	-3.02916205958401	-2.90229389172288	-3.00577713423295	-2.86943901547208
P53396	-4.47502910794994	-3.12077834091781	-2.76984772135269	-3.26565216773093	-4.32584436972904	-3.28387915062877	-2.47361071557741	-1.96073097188813
P53634	-4.48809129044945	-4.10343525750327	-3.24367414049047	-4.24617692452419	-2.40164517991798	-3.00849755405148	-3.8053427038633	-1.49837682701485
P53675, Q00610	-3.96993708560796	-2.77415969166527	-2.50478450732716	-3.41853039887894	-4.06688385531004	-2.39897146175906	-2.96220860389898	-2.80893237005921
P55084	-3.61878519760438	-2.5352197076392	-2.74990722773978	-3.39617379240628	-3.72832154417815	-2.84724446874288	-3.0509509155653	-2.57892707283107
P57088	-4.5937350808074	-2.9161065493482	-2.80512717190516	-3.17527024637009	-3.6479382669765	-2.35341961409039	-3.09267577882275	-2.47677799305221
P60842	-4.00948919714662	-3.06177404472052	-2.58223498587362	-3.52565405714442	-3.22488633791523	-3.38187132250454	-2.78636718961009	-2.20757468988142
P61204, P84077	-3.41155681384762	-2.90849043689834	-2.45838515556633	-3.61479397606625	-3.27131701327296	-3.19581103277695	-3.22726134885625	-2.39765705152058
P61978	-3.47236451038919	-2.89732141720826	-2.89932466151375	-2.93122004863377	-2.77228441583497	-4.12178840309974	-2.91623116337899	-2.52070553722384
P62191	-4.06374560702926	-3.30644764727246	-2.11580509669767	-3.68111280448174	-3.53780107359566	-2.73675355958064	-3.35349956115665	-2.34750595353267
P62805	-4.29375994868187	-3.09580837530877	-2.85566477976863	-3.81591723861343	-2.61534990914312	-3.0309785023346	-2.98450802502253	-2.24468363205357
P68104, Q05639, Q5VTE0	-4.03378746276355	-3.20893225041599	-2.05291615219408	-3.17842615671293	-2.71356242593105	-4.43661444336299	-2.80811680014508	-2.8579834697635
